fid,row_index,col_index,distance,x,y
0,0,9,345.12265442724674,151.20013804887088,-33.88389646498315
1,0,10,333.98845092284506,151.20046230636788,-33.88390120243507
2,0,11,325.24901860078614,151.20078656394062,-33.88390593903431
3,0,12,319.10117964637396,151.20111082158914,-33.88391067478083
4,0,13,315.6963756564847,151.20143507931334,-33.88391540967465
5,0,14,315.12353189435595,151.20175933711332,-33.883920143715756
6,0,15,317.39798219980236,151.20208359498898,-33.88392487690416
7,0,16,322.45948250197097,151.20240785294033,-33.883929609239864
8,0,17,330.1798852237547,151.20273211096736,-33.88393434072285
9,0,18,340.378312113602,151.20305636907008,-33.88393907135314
10,1,7,348.7587004990098,151.1994952168499,-33.88361654880848
11,1,8,332.3721858469672,151.19981947317328,-33.88362128791778
12,1,9,317.9778430576945,151.20014372957243,-33.883626026174355
13,1,10,305.8570702575905,151.20046798604736,-33.88363076357826
14,1,11,296.28902473343413,151.20079224259806,-33.88363550012945
15,1,12,289.5268984540511,151.20111649922447,-33.88364023582797
16,1,13,285.7699488738368,151.20144075592663,-33.88364497067377
17,1,14,285.1369888847958,151.20176501270453,-33.88364970466688
18,1,15,287.6486418901036,151.2020892695581,-33.883654437807294
19,1,16,293.22411212612434,151.2024135264874,-33.883659170095
20,1,17,301.6935840933427,151.20273778349232,-33.88366390153003
21,1,18,312.8220859114965,151.20306204057295,-33.883668632112325
22,1,19,326.29143421455785,151.20338629772922,-33.88367336184195
23,1,20,340.4684725332332,151.2037105549611,-33.88367809071886
24,2,6,344.08466181964604,151.1991766442943,-33.88334137016915
25,2,7,324.7043166489676,151.19950089951982,-33.88334611008306
26,2,8,307.03669487767405,151.19982515482113,-33.88335084914429
27,2,9,291.39349812982925,151.20014941019824,-33.88335558735284
28,2,10,278.116539427758,151.2004736656511,-33.883360324708704
29,2,11,267.5583081390009,151.2007979211797,-33.88336506121187
30,2,12,260.05016247858305,151.20112217678408,-33.88336979686236
31,2,13,255.86075462264688,151.2014464324642,-33.88337453166015
32,2,14,255.15360962957823,151.20177068822002,-33.883379265605264
33,2,15,257.9573671325091,151.2020949440515,-33.88338399869769
34,2,16,264.1602581935234,151.20241919995877,-33.88338873093742
35,2,17,273.5311330722736,151.20274345594163,-33.883393462324456
36,2,18,285.75849858006796,151.2030677120002,-33.883398192858806
37,2,19,299.8496047620047,151.20339196813438,-33.88340292254046
38,2,20,314.43474100297186,151.20371622434425,-33.883407651369424
39,2,21,330.94134605337933,151.20404048062971,-33.88341237934569
40,2,22,349.2493990054087,151.20436473699075,-33.88341710646927
41,3,5,344.6097471420713,151.1988580737828,-33.883066190760516
42,3,6,322.4818081322653,151.19918232791045,-33.88307093147905
43,3,7,301.7170119949952,151.1995065821139,-33.883075671344905
44,3,8,282.6159834087961,151.19983083639318,-33.88308041035809
45,3,9,265.5380063739536,151.20015509074824,-33.88308514851859
46,3,10,250.89653560778135,151.20047934517905,-33.88308988582641
47,3,11,239.13952063788946,151.20080359968566,-33.88309462228156
48,3,12,230.70836370156252,151.20112785426798,-33.88309935788403
49,3,13,225.9756354848578,151.20145210892602,-33.88310409263381
50,3,14,225.17465795181792,151.2017763636598,-33.88310882653093
51,3,15,228.34680933757554,151.20210061846927,-33.88311355957535
52,3,16,235.3314770394814,151.20242487335443,-33.883118291767104
53,3,17,245.80387067033107,151.2027491283153,-33.883123023106165
54,3,18,259.2363373018924,151.2030733833518,-33.883127753592554
55,3,19,273.4349350980639,151.20339763846394,-33.883132483226234
56,3,20,289.1705930935907,151.2037218936517,-33.883137212007256
57,3,21,307.0384342197498,151.20404614891513,-33.883141939935584
58,3,22,326.68879421573706,151.20437040425412,-33.88314666701123
59,3,23,347.8196895578926,151.20469465966875,-33.88315139323419
60,4,4,350.3105781318977,151.19853950531535,-33.882791010582636
61,4,5,325.81611363165774,151.19886375834514,-33.882795752105764
62,4,6,302.3156936928187,151.1991880114508,-33.882800492776234
63,4,7,280.0596675780057,151.19951226463223,-33.88280523259403
64,4,8,259.36857202605705,151.19983651788945,-33.882809971559155
