mission_id,time,cloud_cover,sun_azimuth,sun_elevation
LT05_194021_20040418,2004-04-18 09:47:44,46.0,153.59000869,42.61296499
LT05_194021_20040520,2004-05-20 09:48:38,35.0,151.23166332,51.58749339
LT05_194021_20040605,2004-06-05 09:49:05,56.0,149.41915622,53.87929705
LT05_194021_20040621,2004-06-21 09:49:32,61.0,147.90567914,54.45765512
LT05_194021_20040707,2004-07-07 09:50:01,47.0,147.42232982,53.39144851
LT05_194021_20040723,2004-07-23 09:50:27,83.0,148.3502102,50.88364726
LT05_194021_20040808,2004-08-08 09:50:45,0.0,150.61169525,47.18663227
LT05_194021_20040824,2004-08-24 09:51:12,69.0,153.76045849,42.54330745
LT05_194021_20040909,2004-09-09 09:51:38,0.0,157.24988441,37.216075
LT05_194021_20040925,2004-09-25 09:52:00,25.0,160.54124636,31.46467398
LT05_194021_20041027,2004-10-27 09:52:39,10.0,165.01705675,20.07930836
LT05_194021_20050131,2005-01-31 09:54:14,46.0,158.86385216,14.59085012
LT05_194021_20050405,2005-04-05 09:55:02,31.0,156.25354919,38.12552026
LT05_194021_20050507,2005-05-07 09:55:11,46.0,154.82754075,48.90707693
LT05_194021_20050608,2005-06-08 09:55:25,23.0,151.37121726,54.51026716
LT05_194021_20050624,2005-06-24 09:55:31,61.0,149.86023096,54.78918911
LT05_194021_20050710,2005-07-10 09:55:38,2.0,149.41899048,53.43801182
LT05_194021_20050726,2005-07-26 09:55:49,80.0,150.42178711,50.65926296
LT05_194021_20050827,2005-08-27 09:56:02,43.0,155.74164558,41.89554642
LT05_194021_20050912,2005-09-12 09:56:03,64.0,159.02622288,36.42784424
LT05_194021_20050928,2005-09-28 09:56:01,85.0,162.07909146,30.59632459
LT05_194021_20051014,2005-10-14 09:55:58,61.0,164.47402347,24.74667606
LT05_194021_20051115,2005-11-15 09:56:21,30.0,166.61337153,14.65106997
LT05_194021_20060203,2006-02-03 09:58:11,3.0,159.60421123,15.57049084
LT05_194021_20060307,2006-03-07 09:58:54,1.0,157.97096439,26.73975583
LT05_194021_20060424,2006-04-24 09:59:46,78.0,157.26006046,45.18238953
LT05_194021_20060510,2006-05-10 09:59:58,2.0,156.33877466,49.92026692
LT05_194021_20060526,2006-05-26 10:00:10,58.0,154.81671848,53.29155833
LT05_194021_20060611,2006-06-11 10:00:27,0.0,153.02920319,55.02681158
LT05_194021_20060713,2006-07-13 10:00:58,21.0,151.49170929,53.43111257
LT05_194021_20060729,2006-07-29 10:01:10,71.0,152.69237987,50.4305861
LT05_194021_20060814,2006-08-14 10:01:21,64.0,155.08683273,46.30564873
LT05_194021_20060915,2006-09-15 10:01:43,3.0,161.38314132,35.72745379
LT05_194021_20061001,2006-10-01 10:01:55,31.0,164.27103413,29.83417786
LT05_194021_20061017,2006-10-17 10:02:06,14.0,166.4724819,23.98418252
LT05_194021_20070206,2007-02-06 10:02:54,62.0,160.34420628,16.52418083
LT05_194021_20070310,2007-03-10 10:02:54,53.0,158.80603465,27.96649594
LT05_194021_20070513,2007-05-13 10:02:27,70.0,156.79826507,50.68870904
LT05_194021_20070529,2007-05-29 10:02:16,30.0,155.10336012,53.77800642
LT05_194021_20070630,2007-06-30 10:01:44,63.0,151.88087101,54.9161581
LT05_194021_20070716,2007-07-16 10:01:36,17.0,151.77787069,53.03034304
LT05_194021_20070801,2007-08-01 10:01:27,53.0,153.09450912,49.79699663
LT05_194021_20070817,2007-08-17 10:01:16,52.0,155.51252513,45.4884028
LT05_194021_20070902,2007-09-02 10:01:06,95.0,158.55726935,40.35867061
LT05_194021_20071004,2007-10-04 10:00:51,42.0,164.37396818,28.76637127
LT05_194021_20080328,2008-03-28 09:57:40,55.0,157.09931293,35.22100548
LT05_194021_20080515,2008-05-15 09:56:27,14.0,154.38384192,50.9883214
LT05_194021_20080531,2008-05-31 09:56:01,0.0,152.4043692,53.75808323
LT05_194021_20080616,2008-06-16 09:55:36,58.0,150.40614645,54.83718082
LT05_194021_20080702,2008-07-02 09:55:09,0.0,149.17034183,54.21528091
LT05_194021_20080904,2008-09-04 09:53:18,41.0,156.52039123,38.96177191
LT05_194021_20090502,2009-05-02 09:55:26,1.0,155.32563567,47.53246694
LT05_194021_20090518,2009-05-18 09:55:45,44.0,154.01943578,51.59289998
LT05_194021_20090603,2009-06-03 09:56:02,36.0,152.25589752,54.12609338
LT05_194021_20090619,2009-06-19 09:56:20,74.0,150.60401202,54.9594419
LT05_194021_20090721,2009-07-21 09:56:52,44.0,150.42604434,51.75711389
LT05_194021_20090806,2009-08-06 09:57:06,12.0,152.37453482,48.16347891
LT05_194021_20090907,2009-09-07 09:57:35,93.0,158.58103295,38.28626488
LT05_194021_20090923,2009-09-23 09:57:48,76.0,161.77664062,32.52366051
LT05_194021_20091009,2009-10-09 09:57:59,11.0,164.43108349,26.63598807
LT05_194021_20100129,2010-01-29 09:58:48,81.0,160.14499151,14.22518147
LT05_194021_20100403,2010-04-03 09:58:51,26.0,157.44002067,37.47436141
LT05_194021_20100419,2010-04-19 09:58:48,14.0,157.05680181,43.41412052
LT05_194021_20100505,2010-05-05 09:58:45,78.0,156.21065847,48.48665872
LT05_194021_20100606,2010-06-06 09:58:37,55.0,152.83086277,54.53319915
LT05_194021_20100622,2010-06-22 09:58:32,32.0,151.14403175,55.05229644
LT05_194021_20100708,2010-07-08 09:58:28,45.0,150.44535856,53.90781355
LT05_194021_20101012,2010-10-12 09:57:55,19.0,164.69296335,25.60909529
LT05_194021_20101113,2010-11-13 09:57:43,35.0,166.88810359,15.25278023
LT05_194021_20110305,2011-03-05 09:57:52,3.0,157.68417378,25.7955471
LT05_194021_20110422,2011-04-22 09:57:37,2.0,156.57030705,44.2986793
LT05_194021_20110508,2011-05-08 09:57:32,0.0,155.55559605,49.17837228
LT05_194021_20110625,2011-06-25 09:57:12,76.0,150.4122177,54.8779828
LT05_194021_20110711,2011-07-11 09:57:06,66.0,149.93436752,53.45271358
LT05_194021_20110727,2011-07-27 09:56:57,17.0,150.87497202,50.6218388
LT05_194021_20110812,2011-08-12 09:56:48,79.0,153.07957749,46.63742262
LT05_194021_20110828,2011-08-28 09:56:40,47.0,156.07767478,41.76225912
LT05_194021_20110929,2011-09-29 09:56:10,45.0,162.24893697,30.41738792
LT05_195021_20040308,2004-03-08 09:53:09,1.0,154.60811785,26.6199485
LT05_195021_20040425,2004-04-25 09:54:06,80.0,153.26309426,44.98264003
LT05_195021_20040511,2004-05-11 09:54:34,85.0,152.12892207,49.59334298
LT05_195021_20040527,2004-05-27 09:55:00,29.0,150.44085306,52.79721185
LT05_195021_20040612,2004-06-12 09:55:28,73.0,148.68532227,54.34338272
LT05_195021_20040628,2004-06-28 09:55:56,81.0,147.5266133,54.18550286
LT05_195021_20040730,2004-07-30 09:56:46,2.0,149.19575164,49.39673093
LT05_195021_20040831,2004-08-31 09:57:34,41.0,155.28428936,40.27907271
LT05_195021_20041002,2004-10-02 09:58:19,75.0,161.80561897,28.90388423
LT05_195021_20041103,2004-11-03 09:58:59,88.0,165.47637223,17.84713522
LT05_195021_20050327,2005-03-27 10:01:10,41.0,156.39555222,34.58941025
LT05_195021_20050412,2005-04-12 10:01:14,26.0,156.08889382,40.77663968
LT05_195021_20050428,2005-04-28 10:01:18,83.0,155.44222879,46.27498686
LT05_195021_20050514,2005-05-14 10:01:24,61.0,154.20804627,50.661851
LT05_195021_20050530,2005-05-30 10:01:32,92.0,152.44920472,53.59127553
LT05_195021_20050615,2005-06-15 10:01:39,18.0,150.6212434,54.83887888
LT05_195021_20050701,2005-07-01 10:01:44,17.0,149.50247696,54.39004649
LT05_195021_20050717,2005-07-17 10:01:54,55.0,149.68418665,52.37788368
LT05_195021_20050818,2005-08-18 10:02:10,6.0,153.94638445,44.71136262
LT05_195021_20050903,2005-09-03 10:02:14,3.0,157.18546985,39.56365911
LT05_195021_20051005,2005-10-05 10:02:10,18.0,163.21839502,28.02099737
LT05_195021_20060210,2006-02-10 10:04:31,71.0,159.07009463,17.68510826
LT05_195021_20060226,2006-02-26 10:04:53,15.0,158.23535899,23.27465736
LT05_195021_20060415,2006-04-15 10:05:49,8.0,157.52096967,42.05295479
LT05_195021_20060501,2006-05-01 10:06:02,83.0,156.92839098,47.40127966
LT05_195021_20060517,2006-05-17 10:06:14,81.0,155.74228098,51.58146483
LT05_195021_20060602,2006-06-02 10:06:28,22.0,154.02450845,54.2583352
LT05_195021_20060618,2006-06-18 10:06:44,30.0,152.33948733,55.23882936
LT05_195021_20060704,2006-07-04 10:07:00,3.0,151.43142037,54.51584213
LT05_195021_20060720,2006-07-20 10:07:14,0.0,151.85334437,52.27054449
LT05_195021_20060805,2006-08-05 10:07:26,25.0,153.61291096,48.75220431
LT05_195021_20060821,2006-08-21 10:07:36,59.0,156.36937098,44.21892157
LT05_195021_20060922,2006-09-22 10:07:59,0.0,162.71343378,33.16532351
LT05_195021_20070301,2007-03-01 10:09:06,75.0,159.04841425,24.45943654
LT05_195021_20070504,2007-05-04 10:08:44,3.0,157.49691118,48.30485016
LT05_195021_20070520,2007-05-20 10:08:33,8.0,156.10660507,52.23436074
LT05_195021_20070621,2007-06-21 10:08:04,80.0,152.50331055,55.28812991
LT05_195021_20070707,2007-07-07 10:07:51,96.0,151.66267327,54.27087726
LT05_195021_20070723,2007-07-23 10:07:43,59.0,152.17857217,51.76705412
LT05_195021_20070808,2007-08-08 10:07:33,22.0,154.03585931,48.03285847
LT05_195021_20070824,2007-08-24 10:07:22,66.0,156.80046013,43.32915576
LT05_195021_20070909,2007-09-09 10:07:14,7.0,159.93699751,37.92350569
LT05_195021_20080420,2008-04-20 10:03:17,11.0,156.36115322,43.81726524
LT05_195021_20080522,2008-05-22 10:02:27,16.0,153.56505363,52.39850152
LT05_195021_20080725,2008-07-25 10:00:39,0.0,149.78925447,50.69258552
LT05_195021_20090218,2009-02-18 10:00:04,78.0,157.39944859,20.2130779
LT05_195021_20090322,2009-03-22 10:00:48,69.0,156.45563769,32.60526697
LT05_195021_20090407,2009-04-07 10:01:09,44.0,156.24788159,38.92400913
LT05_195021_20090509,2009-05-09 10:01:46,47.0,154.8305768,49.48006025
LT05_195021_20090626,2009-06-26 10:02:38,14.0,150.11060144,54.78337736
LT05_195021_20090712,2009-07-12 10:02:54,83.0,149.90577698,53.24925347
LT05_195021_20090728,2009-07-28 10:03:09,33.0,151.12694242,50.31785218
LT05_195021_20090829,2009-08-29 10:03:38,42.0,156.70403046,41.33699532
LT05_195021_20090914,2009-09-14 10:03:52,17.0,160.02411747,35.80388908
LT05_195021_20090930,2009-09-30 10:04:04,67.0,163.02413365,29.9445017
LT05_195021_20100221,2010-02-21 10:05:02,73.0,158.4304169,21.42236141
LT05_195021_20100410,2010-04-10 10:05:01,4.0,157.31190289,40.15662551
LT05_195021_20100629,2010-06-29 10:04:40,1.0,150.66985134,54.75057287
LT05_195021_20100731,2010-07-31 10:04:32,55.0,151.88375684,49.76195129
LT05_195021_20100901,2010-09-01 10:04:23,29.0,157.43182365,40.4355243
LT05_195021_20100917,2010-09-17 10:04:18,70.0,160.61197804,34.79800951
LT05_195021_20101003,2010-10-03 10:04:11,100.0,163.42254715,28.90719214
LT05_195021_20101019,2010-10-19 10:04:01,30.0,165.49620486,23.10526105
LT05_195021_20110208,2011-02-08 10:04:04,25.0,159.05458293,16.93786038
LT05_195021_20110312,2011-03-12 10:04:01,72.0,157.4868348,28.55516707
LT05_195021_20110328,2011-03-28 10:03:56,3.0,157.20357225,34.96097977
LT05_195021_20110429,2011-04-29 10:03:45,1.0,156.2119194,46.57341129
LT05_195021_20110515,2011-05-15 10:03:41,66.0,154.91922393,50.9135821
LT05_195021_20110616,2011-06-16 10:03:25,69.0,151.20173789,54.96651128
LT05_195021_20110803,2011-08-03 10:03:03,35.0,151.70982169,48.99918428
LT05_195021_20110904,2011-09-04 10:02:46,76.0,157.48500647,39.41149126
LT05_195021_20111022,2011-10-22 10:02:05,59.0,165.30054112,22.09741678
LE07_194021_20040325,2004-03-25 09:57:13,48.0,156.98581853,34.01920457
LE07_194021_20040410,2004-04-10 09:57:09,3.0,156.68767259,40.24658443
LE07_194021_20040528,2004-05-28 09:57:05,67.0,153.10645171,53.44443782
LE07_194021_20040613,2004-06-13 09:56:58,14.0,151.20095074,54.8782968
LE07_194021_20040715,2004-07-15 09:56:54,82.0,149.86412,52.7302885
LE07_194021_20040731,2004-07-31 09:56:46,27.0,151.2534804,49.53020796
LE07_194021_20041019,2004-10-19 09:56:37,51.0,165.23388851,22.90327791
LE07_194021_20050328,2005-03-28 09:57:36,5.0,157.06878055,35.14628372
LE07_194021_20050515,2005-05-15 09:57:33,24.0,154.75067755,51.02304819
LE07_194021_20050616,2005-06-16 09:57:22,48.0,151.05598931,54.97787164
LE07_194021_20050819,2005-08-19 09:57:14,4.0,154.43822809,44.45966439
LE07_194021_20051006,2005-10-06 09:56:56,34.0,163.62403419,27.674788
LE07_194021_20060705,2006-07-05 09:57:48,0.0,149.96728508,54.16196627
LE07_194021_20060923,2006-09-23 09:57:25,0.0,161.41051477,32.54506299
LE07_194021_20061009,2006-10-09 09:57:18,92.0,164.11735545,26.67245529
LE07_194021_20061025,2006-10-25 09:57:35,47.0,165.97117651,21.02594033
LE07_194021_20070403,2007-04-03 09:58:28,61.0,157.17861145,37.36830989
LE07_194021_20070505,2007-05-05 09:58:22,1.0,155.88126658,48.40088895
LE07_194021_20070606,2007-06-06 09:58:12,91.0,152.45695741,54.47191437
LE07_194021_20070809,2007-08-09 09:58:00,26.0,152.7753848,47.49006005
LE07_194021_20080320,2008-03-20 09:58:05,26.0,157.28279862,32.08891101
LE07_194021_20080421,2008-04-21 09:58:02,0.0,156.47849515,44.24340431
LE07_194021_20080523,2008-05-23 09:57:52,12.0,153.81629821,52.69024169
LE07_194021_20080608,2008-06-08 09:57:44,0.0,151.84548602,54.64306528
LE07_194021_20080624,2008-06-24 09:57:35,32.0,150.26210006,54.87376108
LE07_194021_20080710,2008-07-10 09:57:23,32.0,149.75556386,53.4652202
LE07_194021_20080726,2008-07-26 09:57:13,0.0,150.70830603,50.64457886
LE07_194021_20080811,2008-08-11 09:57:07,30.0,152.9128062,46.66915139
LE07_194021_20081014,2008-10-14 09:56:35,26.0,164.64832043,24.64103264
LE07_194021_20090627,2009-06-27 09:58:20,34.0,150.65530127,54.83936793
LE07_194021_20090814,2009-08-14 09:58:06,26.0,153.99035861,46.02786993
LE07_194021_20090830,2009-08-30 09:58:06,65.0,157.05979747,41.03259434
LE07_194021_20090915,2009-09-15 09:58:05,11.0,160.27857489,35.45470739
LE07_194021_20091001,2009-10-01 09:58:03,50.0,163.16515408,29.5750364
LE07_194021_20091017,2009-10-17 09:58:06,66.0,165.48959453,23.7785278
LE07_194021_20100614,2010-06-14 10:00:04,49.0,152.5137554,55.12309175
LE07_194021_20100716,2010-07-16 10:00:09,17.0,151.26287122,52.89896896
LE07_194021_20100902,2010-09-02 10:00:12,31.0,158.2908592,40.2175269
LE07_194021_20100918,2010-09-18 10:00:13,57.0,161.45126012,34.54832193
LE07_194021_20110430,2011-04-30 10:01:33,0.0,157.53692912,47.11394674
LE07_194021_20110601,2011-06-01 10:01:32,2.0,154.57151156,54.17457352
LE07_194021_20110719,2011-07-19 10:01:27,26.0,151.87549746,52.50994846
LE07_194021_20110804,2011-08-04 10:01:22,12.0,153.4489553,49.05659818
LE07_194021_20110820,2011-08-20 10:01:20,19.0,156.07689099,44.57532054
LE07_194021_20111007,2011-10-07 10:01:09,50.0,164.96976705,27.67837318
LE07_194021_20111023,2011-10-23 10:01:17,0.0,166.86962493,21.95481378
LE07_194021_20120331,2012-03-31 10:02:03,70.0,158.44999997,36.6787785
LE07_194021_20120416,2012-04-16 10:01:59,16.0,158.19820746,42.71847914
LE07_194021_20120502,2012-05-02 10:02:25,0.0,157.50637143,47.95934976
LE07_194021_20120518,2012-05-18 10:02:39,26.0,156.28110548,52.01905095
LE07_194021_20120619,2012-06-19 10:02:23,34.0,152.91891421,55.36535508
LE07_194021_20120721,2012-07-21 10:02:47,49.0,152.62008274,52.10582321
LE07_194021_20121009,2012-10-09 10:03:34,80.0,166.03614187,26.74874573
LE07_194021_20130403,2013-04-03 10:03:59,5.0,159.03482037,37.8580294
LE07_194021_20130505,2013-05-05 10:03:50,7.0,158.00158842,48.84954008
LE07_194021_20130606,2013-06-06 10:03:37,1.0,154.72595093,54.87447158
LE07_194021_20130708,2013-07-08 10:03:21,15.0,152.29902206,54.20841369
LE07_194021_20130724,2013-07-24 10:03:15,0.0,152.93593059,51.56868267
LE07_194021_20130926,2013-09-26 10:03:41,5.0,164.06251664,31.661532
LE07_194021_20131012,2013-10-12 10:03:55,42.0,166.45448491,25.74872981
LE07_194021_20131113,2013-11-13 10:04:07,22.0,168.47512959,15.38431756
LE07_194021_20140217,2014-02-17 10:04:39,43.0,160.15450378,20.32466927
LE07_194021_20140321,2014-03-21 10:04:51,100.0,159.40532019,32.65335421
LE07_194021_20140406,2014-04-06 10:04:55,98.0,159.35501122,38.98443518
LE07_194021_20140508,2014-05-08 10:05:11,83.0,158.32411652,49.68863392
LE07_194021_20140524,2014-05-24 10:05:18,91.0,156.91222861,53.25004483
LE07_194021_20140609,2014-06-09 10:05:21,24.0,155.11108453,55.20130111
LE07_194021_20140625,2014-06-25 10:05:24,65.0,153.60524704,55.42489048
LE07_194021_20140711,2014-07-11 10:05:27,10.0,153.13440584,53.99631527
LE07_194021_20140727,2014-07-27 10:05:32,36.0,154.04108091,51.13492673
LE07_194021_20140812,2014-08-12 10:05:35,67.0,156.18252952,47.10155804
LE07_194021_20140913,2014-09-13 10:05:34,91.0,162.23338868,36.61218723
LE07_194021_20150308,2015-03-08 10:06:49,2.0,160.11581079,27.45818526
LE07_194021_20150409,2015-04-09 10:07:06,44.0,160.02123833,40.14081549
LE07_194021_20150425,2015-04-25 10:07:12,100.0,159.75164076,45.83389214
LE07_194021_20150511,2015-05-11 10:07:20,79.0,158.92394105,50.51568489
LE07_194021_20150527,2015-05-27 10:07:24,77.0,157.44840297,53.82338528
LE07_194021_20150612,2015-06-12 10:07:32,7.0,155.66768705,55.49234427
LE07_194021_20150628,2015-06-28 10:07:34,92.0,154.29357912,55.4284842
LE07_194021_20150714,2015-07-14 10:07:40,25.0,154.02763873,53.73527265
LE07_194021_20150730,2015-07-30 10:07:42,61.0,155.13739851,50.64873397
LE07_194021_20150815,2015-08-15 10:07:46,43.0,157.4011916,46.43129557
LE07_194021_20151002,2015-10-02 10:07:51,26.0,166.17341548,29.76408255
LE07_194021_20151018,2015-10-18 10:08:12,85.0,168.26318451,23.90370991
LE07_194021_20160207,2016-02-07 10:09:47,80.0,162.11701844,17.13745247
LE07_194021_20160223,2016-02-23 10:09:48,78.0,161.26793845,22.54159539
LE07_194021_20160310,2016-03-10 10:09:59,87.0,160.93713348,28.69688963
LE07_194021_20160326,2016-03-26 10:10:05,32.0,160.94445525,35.11203657
LE07_194021_20160411,2016-04-11 10:10:10,1.0,160.97466829,41.31953822
LE07_194021_20160513,2016-05-13 10:10:20,3.0,159.8036559,51.34247522
LE07_194021_20160529,2016-05-29 10:10:25,37.0,158.28605911,54.38954274
LE07_194021_20160630,2016-06-30 10:10:30,100.0,155.28893358,55.41822054
LE07_194021_20160716,2016-07-16 10:10:30,75.0,155.20641191,53.46672727
LE07_194021_20160801,2016-08-01 10:10:33,82.0,156.48839907,50.15712278
LE07_194021_20160817,2016-08-17 10:10:33,13.0,158.83730628,45.75562964
LE07_194021_20160902,2016-09-02 10:10:38,81.0,161.75961448,40.53553741
LE07_194021_20160918,2016-09-18 10:10:39,77.0,164.72604714,34.7782642
LE07_194021_20161004,2016-10-04 10:10:41,9.0,167.27476843,28.80494604
LE07_194021_20161020,2016-10-20 10:10:40,51.0,169.09386084,22.98310917
LE07_194021_20170209,2017-02-09 10:09:50,90.0,161.9623098,17.99928968
LE07_194021_20170225,2017-02-25 10:09:59,63.0,161.21404602,23.56497496
LE07_194021_20170414,2017-04-14 10:10:16,50.0,160.97885951,42.33620539
LE07_194021_20170430,2017-04-30 10:10:22,13.0,160.59857486,47.72564534
LE07_194021_20170516,2017-05-16 10:10:25,100.0,159.58715618,51.97809904
LE07_194021_20170601,2017-06-01 10:10:29,18.0,157.96898132,54.74872979
LE07_194021_20170617,2017-06-17 10:10:33,40.0,156.23766129,55.82711254
LE07_194021_20170703,2017-07-03 10:10:35,55.0,155.14428745,55.18435277
LE07_194021_20170719,2017-07-19 10:10:35,56.0,155.29480025,52.98171946
LE07_194021_20170820,2017-08-20 10:10:33,54.0,159.27616348,44.90027289
LE07_194021_20170905,2017-09-05 10:10:32,98.0,162.23313289,39.56552664
LE07_194021_20170921,2017-09-21 10:10:31,61.0,165.15285459,33.7456188
LE07_194021_20180228,2018-02-28 10:09:19,45.0,160.8861209,24.55672397
LE07_194021_20180316,2018-03-16 10:09:07,67.0,160.58904578,30.83843463
LE07_194021_20180503,2018-05-03 10:08:21,70.0,159.69773266,48.4375134
LE07_194021_20180519,2018-05-19 10:08:05,39.0,158.3947712,52.43167009
LE07_194021_20180604,2018-06-04 10:07:50,41.0,156.55934558,54.8958866
LE07_194021_20180620,2018-06-20 10:07:32,85.0,154.73805771,55.64184523
LE07_194021_20180706,2018-07-06 10:07:13,56.0,153.74001237,54.69241391
LE07_194021_20180722,2018-07-22 10:06:56,59.0,154.05915631,52.22413751
LE07_194021_20180807,2018-08-07 10:06:39,48.0,155.71459811,48.50386988
LE07_194021_20180823,2018-08-23 10:06:20,4.0,158.29497519,43.79656225
LE07_194021_20180908,2018-09-08 10:06:00,52.0,161.27824975,38.37682123
LE07_194021_20180924,2018-09-24 10:05:38,44.0,164.13817162,32.52896702
LE07_194021_20181010,2018-10-10 10:05:15,5.0,166.47379395,26.57970147
LE07_194021_20190215,2019-02-15 10:01:45,80.0,159.44984274,19.39376471
LE07_194021_20190303,2019-03-03 10:01:16,63.0,158.58580609,25.19842779
LE07_194021_20190319,2019-03-19 10:00:45,2.0,158.09503896,31.51494028
LE07_194021_20190404,2019-04-04 10:00:12,6.0,157.74205454,37.84161501
LE07_194021_20190420,2019-04-20 09:59:37,12.0,157.18555418,43.71881215
LE07_194021_20190506,2019-05-06 09:59:01,46.0,156.11784292,48.70563058
LE07_194021_20190522,2019-05-22 09:58:23,58.0,154.39934647,52.40533906
LE07_194021_20190607,2019-06-07 09:57:50,90.0,152.27434289,54.51832152
LE07_194021_20190623,2019-06-23 09:57:15,5.0,150.41752536,54.9065397
LE07_194021_20190709,2019-07-09 09:56:38,55.0,149.5982643,53.6348371
LE07_194021_20190725,2019-07-25 09:56:00,6.0,150.20820828,50.92838307
LE07_194021_20190810,2019-08-10 09:55:21,67.0,152.13866315,47.04287286
LE07_194021_20190826,2019-08-26 09:54:40,2.0,154.93812272,42.24989307
LE07_194021_20190911,2019-09-11 09:53:59,39.0,158.05664194,36.80101208
LE07_194021_20191029,2019-10-29 09:51:56,1.0,164.76200753,19.56209645
LE07_194021_20200218,2020-02-18 09:46:23,58.0,155.31354454,19.48015373
LE07_194021_20200305,2020-03-05 09:45:32,79.0,154.18888561,25.35566017
LE07_194021_20200321,2020-03-21 09:44:39,0.0,153.35874445,31.66293016
LE07_194021_20200406,2020-04-06 09:43:45,0.0,152.55283686,37.90695349
LE07_194021_20200422,2020-04-22 09:42:49,0.0,151.4582858,43.60829927
LE07_194021_20200508,2020-05-08 09:41:51,25.0,149.80837609,48.32617595
LE07_194021_20200609,2020-06-09 09:39:56,26.0,145.21812934,53.38137876
LE07_194021_20200625,2020-06-25 09:39:00,4.0,143.41061163,53.38187239
LE07_194021_20200711,2020-07-11 09:38:02,48.0,142.87909412,51.79991784
LE07_194021_20200727,2020-07-27 09:37:03,54.0,143.86295234,48.87675435
LE07_194021_20200812,2020-08-12 09:36:02,8.0,146.15817664,44.87999044
LE07_194021_20200929,2020-09-29 09:32:55,13.0,155.67015337,28.90069708
LE07_194021_20201015,2020-10-15 09:31:54,47.0,158.09279051,23.14934678
LE07_195021_20040401,2004-04-01 10:03:23,0.0,156.87268962,36.79576032
LE07_195021_20040417,2004-04-17 10:03:15,37.0,156.47609503,42.79340326
LE07_195021_20040807,2004-08-07 10:02:55,0.0,152.25040885,47.77829818
LE07_195021_20040823,2004-08-23 10:02:54,12.0,155.115481,43.11729865
LE07_195021_20040908,2004-09-08 10:02:48,2.0,158.36956254,37.76225948
LE07_195021_20040924,2004-09-24 10:02:43,35.0,161.47136646,31.9771359
LE07_195021_20041010,2004-10-10 10:02:37,10.0,164.11755703,26.11369718
LE07_195021_20041026,2004-10-26 10:02:54,26.0,165.88722157,20.51506462
LE07_195021_20041111,2004-11-11 10:03:03,73.0,166.62356721,15.62528983
LE07_195021_20050303,2005-03-03 10:03:48,0.0,157.60594044,25.19961701
LE07_195021_20050404,2005-04-04 10:03:45,1.0,156.95289475,37.89981324
LE07_195021_20050420,2005-04-20 10:03:38,74.0,156.50031297,43.78767803
LE07_195021_20050607,2005-06-07 10:03:37,30.0,152.06549429,54.5523678
LE07_195021_20050709,2005-07-09 10:03:32,0.0,149.85640355,53.65486163
